userId,rating,movieId
2378393,4.0,658
2537543,5.0,2172
2374726,4.0,2152
1314869,3.0,3275
370222,4.0,2186
1317671,1.0,3182
1299338,3.0,658
840737,3.0,3756
1800459,5.0,723
538178,2.0,2771
1107588,3.0,58
716173,4.0,330
1233297,3.0,3000
2371144,5.0,3017
789969,3.0,3600
1298511,5.0,1642
1462866,2.0,1329
1503647,3.0,3379
1268699,2.0,4123
10679,3.0,2594
1147738,5.0,3582
1020195,3.0,4364
78573,1.0,4360
1033930,3.0,1324
1167477,2.0,425
2404142,4.0,331
2275159,5.0,3925
2202042,4.0,3106
188613,2.0,3862
1431356,5.0,413
2157060,3.0,433
1436668,4.0,2167
2101288,4.0,443
1158822,1.0,4127
1483664,3.0,754
2115962,5.0,2847
2383871,5.0,3128
230211,4.0,3058
1115274,4.0,2443
2635943,5.0,425
337793,4.0,2152
2414529,4.0,442
754161,5.0,660
1220170,5.0,907
2118461,4.0,1627
2157060,3.0,1245
2202042,3.0,2372
2631815,5.0,3085
1800459,5.0,4315
1205174,4.0,3192
43530,4.0,2252
188613,2.0,3310
1028463,5.0,1502
305344,1.0,468
2449356,5.0,4402
1984086,4.0,2015
752696,4.0,4260
2355940,5.0,4356
2118155,3.0,1983
1413367,5.0,1582
1737149,1.0,4266
1846827,3.0,705
2057248,5.0,2000
1416204,3.0,3098
1262887,3.0,1799
1105029,2.0,4407
709536,4.0,2532
669122,1.0,1877
341649,3.0,165
1999176,3.0,4315
1082163,2.0,3648
2378393,4.0,2178
1371451,4.0,4043
309424,3.0,2051
2265729,2.0,3364
11043,5.0,1988
2508234,1.0,692
1462866,3.0,2548
1912542,1.0,4298
972616,1.0,835
1604404,3.0,3610
62471,4.0,4345
732363,3.0,216
830370,4.0,1202
1301819,5.0,872
2064995,2.0,3563
1584985,4.0,629
1319737,2.0,299
2176465,2.0,3600
1604357,5.0,2128
716173,5.0,1495
1065445,3.0,3218
1090296,4.0,1466
2004175,5.0,2803
62471,4.0,571
719725,4.0,3017
1319737,3.0,353
416214,3.0,730
1023176,4.0,4345
1880751,3.0,4007
147644,3.0,1803
2407154,3.0,1200
1757328,3.0,3960
238740,2.0,988
1861500,3.0,2360
74427,5.0,2800
337793,3.0,4115
1741099,5.0,712
485601,4.0,4262
591288,4.0,1144
818061,5.0,3523
1407998,4.0,2922
1580437,3.0,241
752696,4.0,3728
1101271,5.0,4369
2118885,3.0,758
754161,5.0,1144
1002509,1.0,1324
17864,3.0,658
1851867,3.0,2016
198655,2.0,111
2325954,5.0,3151
1394012,4.0,3938
1639792,2.0,2876
1380915,4.0,2795
2288845,3.0,708
1045879,1.0,3593
1112610,4.0,1220
133670,5.0,1324
10679,3.0,2326
729150,5.0,585
1314869,3.0,759
2636538,4.0,571
1582952,3.0,44
2012897,3.0,652
2169264,3.0,798
327366,4.0,1406
818416,5.0,2529
2169264,2.0,2734
2157060,3.0,686
585968,2.0,2139
62471,5.0,1073
441949,5.0,908
2299517,5.0,629
1829748,4.0,442
1961619,4.0,4485
1238184,2.0,563
1433573,2.0,1384
2244849,4.0,1912
816504,5.0,4472
498214,3.0,4141
1134379,3.0,629
327577,1.0,1293
2244849,3.0,3538
2339734,3.0,1525
818025,4.0,1925
719725,5.0,3864
1501943,4.0,3522
1494683,3.0,2675
2524669,3.0,817
2569684,2.0,3925
636262,1.0,4116
2043149,4.0,2040
2062350,4.0,1521
1419103,1.0,658
1394516,3.0,3385
1233297,3.0,2290
434261,5.0,252
1323985,3.0,1983
1257454,4.0,4302
2077664,4.0,3563
2601377,4.0,4496
71594,2.0,1175
951682,2.0,4227
2162641,2.0,1530
1425656,5.0,312
517348,4.0,3872
2438449,4.0,241
743633,3.0,2340
484675,2.0,353
116252,5.0,2167
1167477,4.0,1399
2378393,5.0,4306
2118155,4.0,1359
1287892,2.0,3369
1583129,5.0,1110
1658790,2.0,1975
1936110,5.0,1795
2365581,2.0,584
524295,5.0,4418
911828,4.0,1202
2573509,4.0,1359
2630797,5.0,2890
2320697,1.0,1716
522710,4.0,1798
202678,1.0,896
1218225,5.0,886
2560328,1.0,3505
1997020,3.0,1901
826871,3.0,1693
2360158,3.0,1843
2457095,4.0,2780
115183,1.0,3427
2534367,4.0,1625
1903324,1.0,225
1173570,3.0,4089
1301819,3.0,2174
1556831,4.0,1853
1605711,3.0,1027
29815,4.0,165
483981,4.0,3650
2404142,1.0,4394
2287442,3.0,1682
351296,5.0,1324
2636538,3.0,1466
1452127,3.0,2612
1229628,3.0,3571
2169283,4.0,4393
513501,4.0,305
1463088,2.0,166
1262753,3.0,937
2233782,2.0,3825
522710,2.0,3138
825819,4.0,2862
91234,4.0,152
282427,2.0,77
2223033,3.0,1890
1351594,3.0,3369
127317,4.0,3538
2635943,5.0,2482
1114362,3.0,232
2537543,2.0,3364
1452127,3.0,404
2583311,4.0,2916
2136927,4.0,2505
2223604,4.0,3282
2589198,5.0,4306
2537543,1.0,489
1423063,4.0,788
2393478,4.0,57
29815,4.0,1216
620072,4.0,1798
1538355,2.0,4293
1173570,1.0,2152
326356,4.0,1661
734347,4.0,2689
1229628,1.0,3840
1936110,4.0,1144
779811,3.0,305
45837,3.0,4127
2378393,1.0,438
1001928,3.0,1655
825779,4.0,2135
1640132,2.0,2470
2233293,4.0,269
1061195,2.0,4269
2602249,3.0,3320
1903324,5.0,385
1892684,3.0,708
29815,3.0,956
239518,4.0,118
2588755,3.0,443
147386,3.0,2913
1253619,3.0,4159
